year,miles,price,brand,color_exterior,color_interior,accidents,number_of_owners
2020,46024.0,19998.0,Honda,Blue,Unknown,0.0,1.0
2021,21209.0,22993.0,Toyota,Red,Black,1.0,1.0
2019,19267.0,17991.0,Volkswagen,White,Black,0.0,1.0
2023,4706.0,34770.0,Ford,White,Black,0.0,1.0
2020,23841.0,27995.0,Ford,White,Black,0.0,1.0
2014,74950.0,29995.0,Land Rover,White,Beige,1.0,1.0
2014,103439.0,12750.0,Toyota,Gray,Black,0.0,4.0
2022,31535.0,21899.0,Toyota,White,Black,0.0,1.0
2021,40003.0,36996.0,BMW,Gray,Brown,1.0,1.0
2014,109322.0,18995.0,Land Rover,White,Unknown,0.0,4.0
2015,25995.0,25995.0,Land Rover,Unknown,Unknown,0.0,5.0
2014,101232.0,16795.0,Lexus,White,Beige,2.0,3.0
2021,47167.0,26698.0,BMW,Gray,Black,0.0,1.0
2021,27790.0,22498.0,Honda,Black,Black,0.0,1.0
2021,16386.0,35756.0,Mercedes-Benz,Black,Black,0.0,1.0
2019,50045.0,16998.0,Nissan,Gray,Black,0.0,2.0
2018,77068.0,14987.0,Honda,White,Gray,0.0,3.0
2018,20165.0,41000.0,Chevrolet,Gray,Black,0.0,1.0
2022,31634.0,22100.0,Toyota,Silver,Black,0.0,1.0
2021,61023.0,42993.0,Ford,White,Black,0.0,2.0
2022,38484.0,18498.0,Toyota,Blue,Black,0.0,1.0
2022,32668.0,19998.0,Chevrolet,Gray,Gray,0.0,1.0
2020,26488.0,24990.0,Mercedes-Benz,Blue,Beige,0.0,2.0
2021,41592.0,36991.0,Mercedes-Benz,Black,Black,0.0,1.0
2022,39844.0,15199.0,Kia,White,Black,0.0,1.0
2023,14771.0,25995.0,Toyota,Unknown,Unknown,0.0,1.0
2022,9629.0,40991.0,Toyota,White,Black,0.0,1.0
2017,86333.0,15600.0,BMW,Gray,Black,0.0,2.0
2021,40995.0,59888.0,Mercedes-Benz,White,Black,0.0,1.0
2021,23982.0,33949.0,Audi,Black,Black,0.0,1.0
2021,17471.0,17987.0,Toyota,Gray,Black,1.0,1.0
2021,33980.0,24986.0,Chevrolet,White,Black,0.0,1.0
2022,47087.0,17999.0,Toyota,Black,Unknown,0.0,2.0
2014,52973.0,39999.0,Maserati,Black,Beige,0.0,2.0
2021,18741.0,30651.0,Mercedes-Benz,Blue,Beige,0.0,1.0
2020,64716.0,18700.0,Toyota,Gray,Black,0.0,1.0
2021,18446.0,19781.0,Toyota,White,Black,2.0,1.0
2011,138514.0,7000.0,Chevrolet,White,Black,1.0,2.0
2020,37974.0,26374.0,Mercedes-Benz,Silver,Beige,1.0,1.0
2018,13411.0,24998.0,Toyota,Black,Black,1.0,1.0
2016,126749.0,19998.0,Volvo,Black,Brown,0.0,3.0
2020,37965.0,35998.0,Lexus,Black,Black,0.0,1.0
2017,90382.0,18998.0,Nissan,White,Black,0.0,1.0
2016,84634.0,14998.0,Nissan,White,Black,1.0,2.0
2020,43468.0,22000.0,Subaru,White,Gray,0.0,1.0
2021,66206.0,36475.0,Ford,Black,Black,0.0,1.0
2019,26989.0,44395.0,Land Rover,White,Unknown,0.0,1.0
2020,32972.0,22143.0,Honda,Gray,Black,0.0,1.0
2014,99018.0,14495.0,Ford,White,Gray,0.0,1.0
2020,25905.0,36966.0,Mercedes-Benz,White,Black,0.0,2.0
2021,19950.0,33333.0,Toyota,Green,Gray,0.0,1.0
2014,54424.0,17498.0,Honda,Tan,Beige,0.0,3.0
2018,50216.0,24000.0,Jeep,White,Black,1.0,3.0
2022,28464.0,17991.0,Chevrolet,White,Black,0.0,1.0
2016,54042.0,25998.0,Audi,Blue,Black,1.0,4.0
2022,27530.0,26700.0,Dodge,Black,Black,0.0,1.0
2021,28753.0,21239.0,Nissan,Gray,Black,0.0,1.0
2015,93969.0,12998.0,Nissan,Black,Black,1.0,2.0
2022,51240.0,18987.0,Toyota,Gray,Unknown,0.0,1.0
2020,22440.0,29222.0,Toyota,Blue,Black,0.0,1.0
2021,34451.0,18376.0,Kia,Gray,Black,0.0,1.0
2020,31684.0,24696.0,BMW,Gray,Beige,1.0,1.0
2022,49766.0,39595.0,Toyota,Silver,Black,0.0,1.0
2021,12194.0,30258.0,Mercedes-Benz,White,Beige,0.0,1.0
2018,56467.0,22998.0,BMW,White,Black,1.0,2.0
2021,65107.0,20666.0,Toyota,Black,Black,0.0,1.0
2018,48895.0,22995.0,Jeep,Gray,Black,2.0,1.0
2020,60921.0,22000.0,BMW,Black,Beige,0.0,1.0
2015,57114.0,9993.0,Hyundai,Red,Beige,1.0,1.0
2021,74700.0,16642.0,Toyota,White,Black,0.0,2.0
2016,75067.0,15998.0,Kia,Gray,Gray,2.0,2.0
2017,54673.0,22998.0,Mercedes-Benz,Blue,Unknown,1.0,2.0
2020,16946.0,25997.0,Mercedes-Benz,Black,Black,1.0,1.0
2020,32049.0,59998.0,Land Rover,Green,Green,0.0,1.0
2023,189.0,44700.0,Ford,Red,Black,0.0,1.0
2020,28846.0,18998.0,Hyundai,White,Beige,0.0,1.0
2022,53358.0,17888.0,Toyota,Blue,Black,0.0,1.0
2021,17253.0,17631.0,Kia,White,Black,0.0,1.0
2019,61819.0,17988.0,Nissan,Silver,Black,0.0,3.0
2019,32753.0,32446.0,Mercedes-Benz,White,Black,0.0,2.0
2022,14516.0,42991.0,Lexus,White,Red,0.0,1.0
2023,9735.0,37815.0,Mercedes-Benz,White,Black,0.0,1.0
2019,53278.0,28998.0,BMW,White,White,0.0,2.0
2023,3590.0,24480.0,Honda,Unknown,Gray,0.0,1.0
2020,24121.0,27179.0,Mercedes-Benz,Black,Black,0.0,2.0
2016,62200.0,12999.0,BMW,White,Gray,0.0,3.0
2022,10611.0,46997.0,Ford,Black,Unknown,0.0,1.0
2012,97196.0,11850.0,Mercedes-Benz,Silver,Black,1.0,3.0
2016,89836.0,22998.0,Dodge,Black,Black,1.0,1.0
2015,63131.0,25850.0,Lexus,White,Black,1.0,2.0
2013,77674.0,12900.0,BMW,Black,Beige,2.0,4.0
2020,36858.0,21998.0,Honda,Blue,Black,0.0,1.0
2020,26515.0,30994.0,Jaguar,White,Unknown,0.0,1.0
2020,12563.0,30996.0,BMW,White,Black,0.0,1.0
2019,42531.0,18700.0,Dodge,White,Black,0.0,1.0
2022,17593.0,27419.0,Honda,Black,Black,0.0,1.0
2021,17081.0,29089.0,Volkswagen,Gray,Black,0.0,1.0
2016,81653.0,24998.0,GMC,Silver,Black,0.0,2.0
2020,41453.0,29499.0,Jeep,Silver,Black,0.0,1.0
2013,99911.0,10987.0,Honda,Gray,Black,2.0,2.0
2019,89118.0,12650.0,Dodge,Gray,Black,0.0,2.0
2021,35286.0,48998.0,Porsche,Black,Black,0.0,1.0
2021,65810.0,22981.0,Toyota,Blue,Unknown,0.0,1.0
2020,25170.0,27888.0,BMW,Black,Black,0.0,1.0
2021,27643.0,30806.0,Mercedes-Benz,White,Black,0.0,1.0
2018,52323.0,21998.0,BMW,Black,Black,0.0,1.0
2020,44407.0,25995.0,Mercedes-Benz,Black,Black,0.0,1.0
2019,39057.0,15190.0,Volkswagen,Black,Gray,0.0,1.0
2023,4001.0,31989.0,Subaru,Black,Beige,0.0,1.0
2021,23211.0,35498.0,Chevrolet,Silver,Black,0.0,1.0
2023,1292.0,23998.0,Kia,Black,Black,0.0,1.0
2015,65361.0,11500.0,Volkswagen,Silver,Black,0.0,3.0
2021,13995.0,16298.0,Hyundai,White,Gray,0.0,3.0
2022,40143.0,17500.0,Kia,White,Black,0.0,1.0
2020,41074.0,29499.0,Jeep,Silver,Black,0.0,1.0
2022,21865.0,28988.0,Nissan,Gray,Black,0.0,1.0
2016,64238.0,25888.0,Land Rover,Black,Black,0.0,1.0
2020,52955.0,20998.0,Volkswagen,Silver,Black,0.0,1.0
2018,12876.0,28598.0,Subaru,White,Black,0.0,1.0
2017,40583.0,15998.0,Nissan,Red,Black,0.0,2.0
2017,89257.0,7999.0,Hyundai,Blue,Gray,1.0,3.0
2016,40259.0,17998.0,Nissan,Gray,Black,1.0,2.0
2022,12958.0,44598.0,Ford,Blue,Black,0.0,0.0
2021,38529.0,37986.0,BMW,Black,Black,0.0,1.0
2021,21005.0,27715.0,Toyota,Silver,Black,0.0,1.0
2021,37997.0,26449.0,Subaru,White,Brown,0.0,1.0
2023,3837.0,41886.0,Mercedes-Benz,Gray,Gray,0.0,1.0
2014,90348.0,15998.0,Toyota,White,Gray,0.0,1.0
2019,26251.0,18798.0,Buick,Red,Black,0.0,1.0
2021,11972.0,23766.0,Kia,Gray,Black,0.0,1.0
2021,30632.0,45787.0,Volvo,Gray,Beige,0.0,1.0
2020,28001.0,27680.0,Mercedes-Benz,Silver,Gray,0.0,2.0
2023,15933.0,53750.0,Chevrolet,Blue,Black,0.0,1.0
2020,26763.0,22591.0,Mercedes-Benz,White,Beige,0.0,1.0
2016,26660.0,64250.0,Chevrolet,White,Black,0.0,5.0
2021,22166.0,26998.0,Ford,Black,Black,0.0,2.0
2021,25643.0,21959.0,Dodge,White,Black,0.0,1.0
2020,12070.0,21688.0,Honda,Red,Black,0.0,1.0
2018,19668.0,23998.0,Honda,Gray,Black,0.0,1.0
